source_tweet,reply_1,reply_2,reply_3,reply_4,reply_5,reply_6,reply_7,reply_8,reply_9,reply_10,reply_11,reply_12,reply_13,reply_14,reply_15,reply_16,reply_17,reply_18,reply_19,reply_20,reply_21,reply_22,reply_23,reply_24,reply_25,reply_26,reply_27,reply_28,reply_29,reply_30,reply_31,reply_32,reply_33,reply_34,reply_35,reply_36,reply_37,reply_38,reply_39,reply_40,reply_41,reply_42,reply_43,reply_44,reply_45,reply_46,reply_47,reply_48,reply_49,reply_50,reply_51,reply_52,reply_53,reply_54
  break unconfirmed report contact sydney radio station campricenews martinplace http t co m ncthb az,  skynewsaust kkeneally campricenews unconfrimed break news,  skynewsaust campricenew shock jock think terrorist expert gb,  skynewsaust jacar campricenews zzzzzzzzzzzz,  skynewsaust kkeneally campricenews not belive hadlet rating,  skynewsaust campricenew unconfirmed report news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gunfire sydney cafe hostage hold report say person shoot hostage flee http t co y bz yya,  cnnbrk gunfire sydney cafe hostage hold reportedly person shoot hostage flee http t co jqg ivk ax awani,  cnnbrk religionofpeace http t co j jxbrgte,  cnnbrk say hostage,  thinkku cnnbrk umm maybe good time try gain convert believe guy representative muslim,  cnnbrk cnn,  cnnbrk gunfire sydney cafe hostage hold report say person shoot hostage flee http t co kj rzt ts,  uglee drjb cnnbrk cnn sheesh guy world go nuts smh tell,  thinkku cnnbrk christian dice believe christ redeem forgiveness,  cnnbrk mikerodnew police officer move http t co xdgslnjx l,  cnnbrk gunfire sydney cafe hostage hold report say person shoot hostage flee http t co qain crgue,  cnnbrk anonworldview meh fuck cnn hour break news,  cnnbrk gunfire sydney cafe hostage hold report say person shoot hostage flee http t co fyxs clk n,  reloaded theresident tkrypt cnnbrk s dryer mystery apt laundry rm amp lose sock unit theft terror plot cnnreport,,rt cnnbrk gunfire sydney cafe hostage hold report say person shoot hostage flee http t co b ir noazj,  cnnbrk gunfire sydney cafe hostage hold report say person shoot hostage flee http t co ory gkyjvv uglee,  justamyish tkrypt cnnbrk anonworldview cnn devote hour like mh michael jackson,  cnnbrk gpalm devop lysslamb,  drjb cnnbrk cnn sheesh guy world go nut,  cnnbrk let hope person shoot isis terrorist police hostage hurt foxnew cnn,  justamyish anonworldview cnnbrk lolz usually busy try socially engineer society,  cnnbrk pray people sydney safe,  cnnbrk stretcher,  cnnbrk pls hostages amp police safe,  cnnbrk http t co cisr cycmo want invite religion islam hope know islam favorite rt,  justamyish cnnbrk corp media like cnn approval report punk,  justamyish anonworldview cnnbrk lol,rt cnnbrk gunfire sydney cafe hostage hold report say person shoot hostage flee http t co oxqyqxjpy,,,,,,,,,,,,,,,,,,,,,,,,,,
pray hold hostage right sydney police responsible peace prevail,  joelhouston thank joel work far http t co txfcoxko e heap phone call people inquire safety,  joelhouston pray hold hostage right sydney police responsible peace prevail,  joelhouston declare peace freedom,  joelhouston thatrygood follow,  joelhouston pray,  joelhouston pray,  joelhouston hillsongconf pray jesus ' non violent solution,  joelhouston prayer world,  joelhouston wale pray city,  joelhouston hillsongworship n,  joelhouston pray,  joelhouston hillsongworship pray pond spirit peace fall sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  religion coward gt hostage force display islamic flag woman asshield http t co vtkasgzxv sydneysiege http t co pn vcwd,  ugottabekidn kohtakiev read bit koran recently amp radical islam teaching koran take extreme amp literally,  ugottabekidn kohtakiev give read heavy duty office shredder mulch,  justnathaiy ugottabekidn problem arise w blindly follow question examine reconcile w per belief,  ugottabekidn earthbound soul idk contradicted religion bunch nonsense like,  earthbound soul ugottabekidn wow ur cool hail satan,  latvija amymek build,  ugottabekidn verse tbh fan abrahamic religion evil,  justnathaiy earthbound soul insightful highlight qur'an diff color love allah,  amymek pearlpeche flash bang shot center mass problem solve come australia,  justnathaiy earthbound soul people want god bible change love,  ugottabekidn earthbound soul religion nonsense get bash,  ugottabekidn use logic people fully represent religion claim,  justnathaiy earthbound soul get to run love talk,  ugottabekidn justnathaiy religion right belief force belief society amp beheading,  amymek pm australia say know political oh maybe militant wing salvation army,  ugottabekidn bible get quran interpretation islam hate website b,  ugottabekidn earthbound soul alright fun run thank time,  amymek savage,  justnathaiy ugottabekidn muslim assume justnat read koran v live,  kwbr amymek lol,  justnathaiy ugottabekidn dogma great form ignorance,  amymek katyinindy wait woman shield muslims lt sarc gt pffft hamas islamreligionofpeace myass,  amymek spot amy alwaysacowboy,  justnathaiy earthbound soul say opposite jesus say bad,  kwbr mikeymanila amymek angry amish,  justnathaiy earthbound soul allah capricious trust change mind fit narrative muhammad,  amymek ' woman shield ' sound familiar hint hamas,  kohtakiev action muslim terrorize kill perfectly match teaching qur'an hadith themoreyouknow,  abo mikeymanila amymek get to mennonite pretty scary,  justnathaiy earthbound soul cover inadequacy perfect god,  earthbound soul ugottabekidn assume muslim buddhist ppl attack islam like,  kwbr amymek let rock paper scissor guess terrorist duhh,  lengsanity ohh yea see think sorry forgot untag,  justnathaiy jews amp christians,  ugottabekidn earthbound soul s verses quran tell u u kill person kill humanity,  justnathaiy nope context,  justnathaiy surah allah love non believer allah love turn away friend,  earthbound soul ugottabekidn bad religion bible amp quran finish,  kohtakiev amymek lengsanity muslim terrorist terrorist muslim,  justnathaiy rt nd half earthbound soul get u muslim say tell christ say,  jewelsparkle amymek islam democracy coexist,  pearlpeche amymek lengsanity hindus parent country bomb buddhist amp muslim u know,  jewelsparkle amymek islam religion slave fool islam communism identical,  justnathaiy earthbound soul follow christ abide organized religion bible truth religion man try,  justnathaiy romans sinner christ die god love non believer turn away,  kohtakiev https t co axkw ekczc,  justnathaiy earthbound soul punish kill believe allah prove god profess,  amymek lengsanity heck cus ppl fuck mean religion mad fair,  earthbound soul ugottabekidn plan finish see verse disturb bad bash,  ugottabekidn earthbound soul religion,  justnathaiy lot side patience work read urself,  justnathaiy earthbound soul oh kinda run car k sticker prob time u want talk,  amymek jewelsparkle demand mosque burn ground,  justnathaiy earthbound soul hateful spiteful allah book stripe love hateful love spiteful
evacuate consulate sydney sydneysiege emergency warning u s citizen urge maintain high level vigilance,  williamsjon morgfair know guy piss get fire foreclose gf cheat,  williamsjon sorry miss,  williamsjon scary hope situation resolve soon amp peacefully possible,  williamsjon latikambourke destructive foreign policy think day require vigilance,  williamsjon curious ' evacuate ' mean leave country city area know,  isabelsbookclub mean home,  williamsjon sassafras knob maintain high level vigilance obama say islamic terrorist exist america remember,  williamsjon morgfair twitterverse aussie act like normandy landing imminent flag arabic crazy fear,  isabelsbookclub williamsjon country safe,  williamsjon lorizellmill good thing feinstein sure happen,  fairyofbloom hope safe speedy resolution pray hurt unlikely consider,  jplang williamsjon,rt williamsjon evacuate consulate sydney sydneysiege emergency warning citizen maintain high level vigilance,  williamsjon consensus translation headband sacrifice o mohame caveat photo blurry text incomplete,  williamsjon cv people comfort,  williamsjon make sense read cia report surprise hs take long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gunman dozen hostage inside cafe sydney australia isis flag remain display kristymayr http t co p gycrobsa,  majornew kristymayr bastard,break hostage armed hold remain press window sydney australia cafe kristymayr http t co f n kcj ia,  majornew nhlflyershockey kristymayr,  majornew newsperth people isis flag,  majornew mrgeology kristymayr advice hear shot drop ground team go clear,  majornew akosnitzky kristymayr pray hostage god let outcome peaceful,  majornew kristymayr fuck,airspace sydney city shut newscomauhq,  majornew kristymayr oh,update people believe inside lindt cafe martin place sydney australia newsperth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
major landmark sydney evacuate police respond hostage situation caf city martin place bbcnews http t co iowvqexn m,  gypsysoul sky well coverage link australian counterpart,  gypsysoul say arabic group kink,  steveo moose breakingnew bbcnew love lt,  iammrrodriguez ok thx u try read info,  gypsysoul yeah alarming situation build hete,  immrclassy breakingnew bbcnew fuck cunt,  gypsysoul yeah fearful say true isis invilve,  iammrrodriguez crazy,  iammrrodriguez good see armed man hostage,  immrclassy amazing dad tolerate people people idiot fuck,  gypsysoul yeah say u think theu invokce,  iammrrodriguez hope ok end,  tark breakingnew isis apparently say,  immrclassy breakingnew bbcnew welcome shitbag,  steveo moose breakingnew bbcnews terrorism idiot,  immrclassy breakingnew bbcnew enjoy extra chromosome,  steveo moose not tolerate people calll people cunt shitbag etc hey say good dad true,  gypsysoul yeah maybe gunman reiterate lone wolf,  breakingnew hostage situation ok,  breakingnew bbcnews damn airspace sydney close isis relate terrorist group,mt breakingnew major landmark sydney evacuate hostage situation caf city martin place bbcnews http t co oaktdpdwiz,  breakingnew bbcnew strict gun law happen,  iammrrodriguez think,  gypsysoul pm speak live,  steveo moose breakingnew bbcnew thank lt,  breakingnew bbcnew wow crazy,  steveo moose amzing father sure nice,  iammrrodriguez say cnn post info come wait game,,,,,,,,,,,,,,,,,,,,,,,,,,
break news sydney siege gunman,  pzfee cdngunner hopefully double tap eye maybe ball knee,  pzfeed anonworldview good news,  pzfee break news sydney siege gunman clever think have cuppa police,,  pzfee praise allah,  pzfee break news sydney siege gunman finally,  agent pzfeed sarcasm,  pzfee yes,  skiplacombe btw good talk fellow conservative use logic conviction transativepropertyofliberallunacy,  skiplacombe know man lynch amp burn like racism torture definition scared torture whatilearnedtoday,  pzfeed ' murica,  iviatthew pzfeed ' stralia,  stockdemon pzfeed lifetime,  skiplacombe wrong pour water face save life okay split face open save life whatilearnedtoday,  intgalsmuggler nice quote rt,  pzfeed finally victory australia,  pzfeed boooooooooooooo,  markfromalbany say evil shoot head torture,  stockdemon pzfeed reinforce view,rt pzfeed break news sydney siege gunman,  pzfeed noooooooo,  pzfeed hopefully dead hope hostage alive,good rt pzfeed break news sydney siege gunman,  pzfee bodhisatvaa dead alive,  pzfee break news sydney siege gunman,  sixyr accidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrifying photo hostage martin place sydney hold man wave isis flag http t co ozbrqvnlg,  conkc maggiestardust tomsteinfort excellent christian response play,  tomsteinfort terrify photo hostage martin place sydney hold man wave isis flag http t co kl hvbw fo,  danwootton feel family poor woman face splash news safe anymore,  yetanothermary know poor people lindt chocolate cafe,  tomsteinfort sebcostello probably well not run identify juuuust,  mistyuk know imagine terrifying family hope alive,  tomsteinfort daveric think bad dream god let free unharmed,  tomsteinfort alfroz want,  mistyuk yetanothermary bed check update hope little girl feel well soon x,oh tomsteinfort terrify photo hostage martin place sydney hold man wave isis flag http t co h kg wjyjt,oh god tomsteinfort terrify photo hostage martin place sydney hold man wave isis flag http t co py kwgdthx,  yamankaytaz tomsteinfort take hostage criminal take islam hostage,  mistyuk yetanothermary pray innocent people unharmed terror poor woman face,  danwootton tomsteinfort happen,  mistyuk tomsteinfort see terrifying,  alfroz tomsteinfort worry situation,  tomsteinfort conkc pray safely,  troybeast asshole maggiestardust tomsteinfort,  danwootton tomsteinfort oh dear god hope ok,terrifying photo hostage martin place sydney hold man wave isis flag http t co wke rz rbj tomsteinfort,  tomsteinfort girl sweetest thing heartbreaking,  yamankaytaz tomsteinfort know confirm isis idiocy relate,  yetanothermary flag make concerned outcome,  danwootton terrify photo hostage martin place sydney hold man wave isis flag http t co p l lbiu safeende,  maggiestardust tomsteinfort conkc help,  magstwell yetanothermary know daughter unwell pop hope positive news new,,,,,,,,,,,,,,,,,,,,,,,,,,,,
update australian pm abbott police deal report hostage take incident sydney business district http t co iqgdmicdnh,,,  abc australian pm abbott police deal w report hostage take incident sydney bus district http t co c hr qyggb fuck,  abc kindly army navy seal deadly islamic terrorist blow,,  abc religion peace strike hey australia anti gun law work,  abc religionofpeace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
